sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO1694009392616116     CW2288-001      34.5    21      12      1       8694
BSIN2309046622  DC3728-003      34.5    21      12      1       8694
ODO1694002914535598     CW2288-001      34.5    21      12      1       8694
BSIN2309037426  CW2288-001      34.5    21      12      1       8694
ODO1694009513959300     CW2288-001      34.5    21      12      1       8694
ODO1694002492756139     CW2288-001      34.5    21      12      1       8694
ODO1694009036169408     CW2288-001      34.5    21      12      1       8694
ODO1694252285955197     CW2288-001      34.5    21      12      1       8694
ODO1694252285955197     CW2288-001      34.5    21      12      1       8694
ODO1694002748428915     CW2288-001      34.5    21      12      1       8694
ODO1694008977572233     CW2288-001      34.5    21      12      1       8694
ODO1694002636521204     CW2288-001      34.5    21      12      1       8694
ODO1694013591377973     CW2288-001      34.5    21      12      1       8694
ODO1694010830874532     CW2288-001      34.5    21      12      1       8694
ODO1694009153541478     DZ2809-001      34.5    22.5    11.2    1       8694
TBNK2309172256  DR5670-003      34.5    22.5    11.2    1       8694
ODO1694023189478212     DR5670-003      34.5    22.5    11.2    1       8694
BSIN2309050880  FN7815-200      33.2    21.8    12      1       8685.12
TBNK2309190284  DV5477-700      33.5    21.6    12      1       8683.2
ODO1693886290224330     FJ1054-100      33.8    21.4    12      1       8679.84
TBNK2309162227  FJ1055-100      33.8    21.4    12      1       8679.84
TBNK2309279763  DZ3014-002      34.2    20.8    12.2    1       8678.59
ODO169400429260775      DD0204-001      34.2    20.8    12.2    1       8678.59
ODO169389900998052      DZ3014-500      34.2    20.8    12.2    1       8678.59
ODO169387488628977      DR0453-100      34.2    20.8    12.2    1       8678.59
ODO169418909041628      DR0453-100      34.2    20.8    12.2    1       8678.59
ODO1694003993297441     DD0204-001      34.2    20.8    12.2    1       8678.59
ODO1694003993297441     DD0204-001      34.2    20.8    12.2    1       8678.59
ODO1694003993297441     DD0204-001      34.2    20.8    12.2    1       8678.59
ODO1694002370270493     DD0204-001      34.2    20.8    12.2    1       8678.59
